gene_symbol_target,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type,gene_symbol_upper,gene_symbol_de,feature_id,cohort,disease,comparison,model,model_formula,n_samples_used,n_hcm,n_control,n_male,n_female,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC,gene_symbol
ACTC1,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Inborn_genetic_diseases|Primary_dilated_cardiomyopathy,,,,ACTC1,ACTC1,ACTC1,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,13.888996637924535,13.927126816666664,-0.009543619514870996,0.06683394654109052,-0.14279598929570073,0.8866595873138401,0.9613120216999339,0.009543619514870996,ACTC1
LMNA,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",,,,LMNA,LMNA,LMNA,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,9.368632696245283,9.881338274833334,-0.476063151618889,0.05271541333887311,-9.03081511584835,1.3373338341520657e-15,8.229713217450257e-14,0.476063151618889,LMNA
PLN,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,,PLN,PLN,PLN,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,10.522076680632074,10.237130883083337,0.30936531913030585,0.07816740111517899,3.957728090185047,0.00012058567791709316,0.0010023469287173967,0.30936531913030585,PLN
RBM20,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD,,,,RBM20,RBM20,RBM20,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,11.432343746603772,10.689957114750001,0.7474197106255395,0.08182850679672081,9.133977141759251,7.388994437858144e-16,4.796636080534808e-14,0.7474197106255395,RBM20
SCN5A,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome",,,,SCN5A,SCN5A,SCN5A,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,6.314173125292454,6.27209379252778,0.04349257740333173,0.020552618194809316,2.1161575129302035,0.036126925505815345,0.14674891302920334,0.04349257740333173,SCN5A
TNNT2,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3 | not_provided|Primary_dilated_cardiomyopathy",,,,TNNT2,TNNT2,TNNT2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,13.558038061320756,13.541931764722223,0.02949605040131921,0.04624883012226227,0.6377685732448621,0.5246811454265192,0.7970349455318143,0.02949605040131921,TNNT2
TTN,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1111,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy",,,,TTN,TTN,TTN,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,7.40759681498113,7.37899264913889,0.02573584277916542,0.06894920435827463,0.37325800955492605,0.7095291680078684,0.8946488301365421,0.02573584277916542,TTN
ABCC9,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O,,,,ABCC9,ABCC9,ABCC9,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,6.751765074632075,6.734653087500002,0.016307456914529266,0.03524335815037254,0.46271007561056965,0.6443009793790558,0.8653328672266491,0.016307456914529266,ABCC9
ACTN2,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,,ACTN2,ACTN2,ACTN2,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,11.837058269999998,11.547817412777777,0.27393369013809826,0.047627011639881714,5.751645562173226,5.4522610047720274e-08,8.767877788136125e-07,0.27393369013809826,ACTN2
BAG3,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided,,,,BAG3,BAG3,BAG3,GSE36961,HCM,HCM_vs_Control,adjusted_age_sex,expression ~ HCM_status + age_years + sex,142.0,106.0,36.0,73.0,69.0,11.298924770849053,11.696657128611115,-0.4226263086245858,0.08031614620041397,-5.262034206297705,5.318688110483776e-07,7.110246210857259e-06,0.4226263086245858,BAG3
