gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type
ACTC1,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Inborn_genetic_diseases|Primary_dilated_cardiomyopathy,,,
LMNA,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,82,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2B1|Dilated_cardiomyopathy_1A|Emery-Dreifuss_muscular_dystrophy_2,_autosomal_dominant|Congenital_muscular_dystrophy_due_to_LMNA_mutation|Emery-Dreifuss_muscular_dystrophy_3,_autosomal_recessive|Familial_partial_lipodystrophy,_Dunnigan_type|Hutchinson-Gilford_syndrome|Mandibuloacral_dysplasia_with_type_A_lipodystrophy|LMNA-related_disorder|Charcot-Marie-Tooth_disease_type_2|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|Cardiomyopathy|not_provided|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Charcot-Marie-Tooth_disease_type_2|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1A|Primary_dilated_cardiomyopathy | Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1",,,
PLN,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,
RBM20,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_dilated_cardiomyopathy|not_provided|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Dilated_cardiomyopathy_1DD|Left_ventricular_noncompaction_cardiomyopathy | Cardiovascular_phenotype|not_provided|Dilated_cardiomyopathy_1DD,,,
SCN5A,DCM,DCM_RNA_processing,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,28,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Atrial_fibrillation,_familial,_10|Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Long_QT_syndrome_3|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Progressive_familial_heart_block,_type_1A|Sick_sinus_syndrome_1|Cardiovascular_phenotype|Familial_isolated_arrhythmogenic_right_ventricular_dysplasia|not_provided|Brugada_syndrome|SCN5A-related_disorder|Cardiac_arrhythmia | Brugada_syndrome_1|Progressive_familial_heart_block,_type_1A|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Atrial_fibrillation,_familial,_10|Dilated_cardiomyopathy_1E|Long_QT_syndrome_3|Sick_sinus_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|not_provided | Brugada_syndrome_1|SUDDEN_INFANT_DEATH_SYNDROME|Cardiovascular_phenotype|Sick_sinus_syndrome_1|Ventricular_fibrillation,_paroxysmal_familial,_type_1|Dilated_cardiomyopathy_1E|Atrial_fibrillation,_familial,_10|Long_QT_syndrome_3|Progressive_familial_heart_block,_type_1A|Cardiac_arrhythmia|not_provided|Brugada_syndrome",,,
TNNT2,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3 | not_provided|Primary_dilated_cardiomyopathy",,,
TTN,DCM,DCM_TTN_related,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1111,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Cardiovascular_phenotype|Hereditary_inclusion-body_myopathy|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Primary_familial_dilated_cardiomyopathy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Cardiomyopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_9|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Early-onset_myopathy_with_fatal_cardiomyopathy | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Autosomal_dominant_and_autosomal_recessive_TTN-related_disorders|Restrictive_cardiomyopathy|Autosomal_recessive_titinopathy|Primary_dilated_cardiomyopathy|Myocarditis|Dilated_cardiomyopathy_1G|not_provided | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Dilated_cardiomyopathy_1G|Autosomal_recessive_titinopathy",,,
ABCC9,DCM,,ClinVar_PLP_review2plus,False,True,9,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",ABCC9-related_disorder|Hypertrichotic_osteochondrodysplasia_Cantu_type|not_provided|Dilated_cardiomyopathy_1O | ABCC9-related_disorder|Low_anterior_hairline|Abnormal_facial_shape|Epicanthus|Tapered_finger|Macrocephaly|Large_hands|Coarse_facial_features|Micrognathia|Patent_ductus_arteriosus|Joint_hypermobility|Thick_upper_lip_vermilion|Abnormality_of_the_face|Bulbous_nose|Depressed_nasal_bridge|Left_ventricular_hypertrophy|not_provided|Hypertrichotic_osteochondrodysplasia_Cantu_type|Dilated_cardiomyopathy_1O | Cardiomyopathy|Dilated_cardiomyopathy_1O,,,
ACTN2,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,
BAG3,DCM,,ClinVar_PLP_review2plus,False,True,43,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6 | Cardiovascular_phenotype|Dilated_cardiomyopathy_1HH|Myofibrillar_myopathy_6|not_provided,,,
CCDC30,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_dilated,_2c|not_provided",,,
CEP85L,DCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy,,,
